ID_2	X	Y	elevacion	twi	arcilla	pH	COS
280	357799.36	6535105.05	744	96	11.8	7	31.88
281	363571.89	6515525.91	651	111	25	7.1	20.89
282	366450.72	6494150.24	517	111	17.1	6.8	18.22
283	358491.87	6479634.73	807	96	26.4	7.4	21.68
284	364859.82	6456430.94	592	97	25.4	7.2	14.55
285	352374.61	6437236.25	537	107	18.4	7.5	14.56
286	360020.37	6412715.79	641	105	9.8	7.3	17.28
287	360639.91	6397543.36	729	110	15.5	7.4	12.14
288	363104.17	6380446.41	679	107	12.4	7.5	13.2
289	363949.38	6366384.19	618	108	13.6	6.8	9.56
290	360297.21	6339369.19	500	120	18	6.7	16.79
291	358906.86	6318190.95	473	116	16.8	6.6	10.56
292	368023.83	6297300.27	350	118	19.4	6.2	15.28
293	356796.29	6281601.06	344	121	18.2	6.4	9.52
294	360840.65	6258419.58	291	125	19.7	6	12.47
295	357728.13	6243261.45	269	126	11.4	6.3	7.15
297	372915.38	6201693.21	228	124	8.4	6.8	6.75
298	369232.85	6178825.41	202	123	13.2	6.7	7.37
299	354127	6154878.16	222	121	6.4	6.7	5.03
300	364634.38	6141008.11	192	121	11.5	6.5	4.84
301	322034.07	6722198.55	190	134	44.6	8	2.75
302	336988.39	6702457.44	232	121	11.6	7.6	11.37
303	342934.94	6678616.6	198	125	10	7.4	6.74
304	333942.32	6663125.3	194	128	27.1	7.9	5.91
305	339487.39	6636140.96	419	111	20.8	7.4	17.03
313	351274.03	6477362.73	772	102	33.2	6.4	36.05
314	340121.95	6459510.02	1113	90	35.5	6.5	18.83
316	358358.83	6422919.2	565	112	9.5	6.6	11.37
317	348091.44	6386836.04	761	103	13.4	6.6	13.23
318	338135.22	6376680.99	864	101	18.1	6.7	23.57
319	335929.72	6354151.04	687	109	27.5	6.6	30.54
320	338757.84	6338936.77	682	115	36.4	6.7	17.23
321	348477.51	6320510.23	553	109	7.4	7.4	10.4
322	343471.42	6292973.66	442	119	16.6	6.1	7.53
324	331109.74	6247386.21	338	126	10	6.7	7.22
327	342963.04	6193914.84	258	125	6.2	6.9	4.21
328	343616.12	6170951.63	239	124	0	6.4	5.2
329	336324.51	6164347.09	250	120	20.6	6.7	7.62
330	344720.89	6134253.69	244	117	34.3	7.1	8.91
333	314936.82	6654861.62	210	128	9.5	7.3	6.8
334	326153.79	6628397.33	371	115	15.6	6.8	15.35
335	315026.93	6615022.32	382	120	12.3	7.7	9.91
336	318722.78	6592812.81	574	109	15.9	7.5	14.55
337	302508.48	6573026.77	702	109	18.7	7	19.79
340	310568.45	6517138.98	1425	84	17.6	7.9	36.13
342	316152.47	6474608.25	903	89	24.3	7.4	27.07
343	304247.81	6459884.72	859	107	18.5	7.3	27.94
